,Número,Nombre Constructor,Número CUIT,Tipo,Estado,Fecha perfeccionamiento,Monto,Moneda,tramite,tramite_estado,tramite_nombre_proc,tramite_exp_num,tramite_uoc
0,452-1034-CON17,M. ROYO S.A.C.I.I.F. Y F.,30530589265,Original,Perfeccionado,15/8/2017,11.017.15508,Dolar Estadounidense,452-0001-LPU17,Adjudicado,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,EX-2017-01312793-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
1,452-1037-CON17,M. ROYO S.A.C.I.I.F. Y F.,30530589265,Original,Perfeccionado,15/8/2017,7.267.31225,Peso Argentino,452-0001-LPU17,Adjudicado,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,EX-2017-01312793-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
2,452-1036-CON17,SIAT S.A.,30607451369,Original,Perfeccionado,15/8/2017,16.439.55040,Dolar Estadounidense,452-0001-LPU17,Adjudicado,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,EX-2017-01312793-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
3,452-1039-CON17,SIAT S.A.,30607451369,Original,Perfeccionado,15/8/2017,8.725.84105,Peso Argentino,452-0001-LPU17,Adjudicado,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,EX-2017-01312793-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
4,452-1035-CON17,"SIDERCA S.A,I,C,",30550815997,Original,Perfeccionado,15/8/2017,6.505.52212,Dolar Estadounidense,452-0001-LPU17,Adjudicado,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,EX-2017-01312793-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
5,452-1038-CON17,"SIDERCA S.A,I,C,",30550815997,Original,Perfeccionado,15/8/2017,4.108.98698,Peso Argentino,452-0001-LPU17,Adjudicado,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,EX-2017-01312793-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
0,452-1033-CON17,Industrias Juan F. Secco S.A,30501598131,Original,Perfeccionado,15/8/2017,8.161.30711,Dolar Estadounidense,452-0003-LPU17,Adjudicado,Adquisición de motocompresores,EX-2017-01523004-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
0,452-1054-CON17,CONSTRUCCIONES ELECTROMECANICAS DEL OESTE S.A.,30611995128,Original,Perfeccionado,02/11/2017,373.373.82385,Peso Argentino,452-0004-LPU17,Adjudicado,Contratación y ejecución del montaje de cañerías,EX-2017-07087792-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
1,452-1052-CON17,Contreras Hermanos S.A.I.C.I.F.A.G. y M.,30504536706,Original,Perfeccionado,02/11/2017,613.129.68790,Peso Argentino,452-0004-LPU17,Adjudicado,Contratación y ejecución del montaje de cañerías,EX-2017-07087792-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
2,452-1051-CON17,TRANSPORTADORA DE GAS DEL SUR S.A.-SACDE SOCIEDAD ARGENTINA DE CONSTRUCCION Y DESARROLLO ESTRATEGICO S.A.-UNION TRANSITORIA,33715778179,Original,Perfeccionado,01/12/2017,946.936.95292,Peso Argentino,452-0004-LPU17,Adjudicado,Contratación y ejecución del montaje de cañerías,EX-2017-07087792-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
3,452-1053-CON17,Victor M. Contreras y Cia S.A,33506249029,Original,Perfeccionado,03/11/2017,246.741.30300,Peso Argentino,452-0004-LPU17,Adjudicado,Contratación y ejecución del montaje de cañerías,EX-2017-07087792-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
0,,,,,,,,,452-0005-LPU17,Dejado Sin Efecto,Contratación y ejecución del Montaje de Plantas Compresoras.,EX-2017-08835899-   -APN-DCC#MEM,452/000 - Dirección General de Administración y Finanzas - MEM
0,,,,,,,,,82-0001-LPU17,Fracasado,Construcción de Jardines de Infantes Zona Patagonia Sur,EX-2017-05404052-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,82-1031-CON18,HIDROCONST S.A.,30547275531,Original,Anulado,,157.781.00015,Peso Argentino,82-0002-LPU17,Adjudicado,Construcción de Jardines Zona Centro Sur,EX-2017-06249446-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
1,82-1062-CON18,HIDROCONST S.A.,30547275531,Original,Perfeccionado,20/7/2018,157.781.00015,Peso Argentino,82-0002-LPU17,Adjudicado,Construcción de Jardines Zona Centro Sur,EX-2017-06249446-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,82-1061-CON18,HIDROCONST S.A.,30547275531,Original,Guardado,,201.984.12264,Peso Argentino,82-0004-LPU17,Con Documento Contractual,CONSTRUCCION DE JARDINES DE INFANTES ZONA CENTRO NORTE,EX-2017-06263930-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
